slope_angle,wolf_prob,rain_mm,cold_resistance,is_safe
37.8,0.77,34.93,Low,0
22.28,0.624,11.31,Low,1
19.63,0.015,73.22,Medium,1
12.2,0.155,18.3,Medium,1
42.6,0.211,19.75,Low,1
42.89,0.499,27.09,Low,0
38.26,0.602,47.23,Low,0
41.58,0.745,22.71,Medium,0
49.83,0.126,4.13,Medium,1
40.68,0.721,31.23,Medium,0
17.06,0.124,51.96,High,0
35.34,0.436,28.8,Medium,1
6.62,0.431,7.07,High,0
35.12,0.065,17.3,Medium,1
8.32,0.103,25.56,High,1
44.35,0.0,11.61,High,1
19.07,0.49,57.46,Medium,0
42.64,0.023,16.36,High,1
25.94,0.249,19.59,Medium,1
49.0,0.024,39.72,High,1
14.42,0.141,19.8,High,1
50.06,0.386,21.97,Medium,1
48.76,0.751,38.96,Low,0
60.71,0.344,0.0,Low,1
5.57,0.245,14.92,High,1
24.82,0.039,23.65,Medium,1
15.96,0.572,40.25,Medium,1
22.41,0.154,22.0,High,1
20.34,0.343,32.56,Medium,1
46.5,0.375,46.17,Medium,0
10.79,0.214,90.0,Low,1
40.83,0.623,66.24,Medium,0
45.66,0.178,20.02,Low,0
42.34,0.251,8.57,High,1
13.8,0.353,40.9,High,1
1.0,0.002,19.24,High,1
23.46,0.495,38.74,Low,0
6.52,0.009,13.35,High,1
33.28,0.232,7.34,High,1
41.74,0.162,0.0,Medium,1
42.05,0.15,42.75,Low,0
47.48,0.212,16.27,High,1
51.78,0.048,8.89,Medium,1
30.18,0.545,23.14,High,1
43.34,0.16,64.27,Medium,1
48.56,0.336,2.56,Medium,1
30.87,0.191,5.15,Medium,1
31.86,0.091,72.84,Medium,0
53.58,0.57,41.2,Medium,0
59.88,0.619,120.02,Low,0
38.33,0.396,21.24,Low,1
37.89,0.687,79.3,Low,0
28.09,0.712,23.16,High,0
41.46,0.641,48.24,Low,0
12.8,0.157,3.96,Medium,1
6.28,0.0,32.44,Medium,1
25.08,0.367,51.75,Medium,0
37.03,0.245,4.6,Medium,1
29.72,0.871,32.54,Medium,0
4.11,0.091,26.08,High,0
12.78,0.212,41.99,Medium,1
33.16,0.472,21.62,Medium,1
8.27,0.074,62.78,Medium,1
52.99,0.588,82.02,Low,0
7.41,0.071,0.71,Medium,1
7.23,0.113,63.1,Low,1
50.62,0.39,47.91,Low,0
43.17,0.354,56.73,Medium,0
50.02,0.163,33.84,Medium,0
21.04,0.367,29.95,Low,1
7.93,0.09,58.51,Medium,1
45.83,0.348,54.38,High,0
24.99,0.02,22.3,High,1
48.88,0.023,29.21,Medium,0
21.6,0.059,76.37,Medium,0
23.69,0.371,22.12,Medium,1
13.23,0.079,103.51,Medium,1
60.18,0.305,8.78,Low,1
37.09,0.291,11.93,Medium,1
33.55,0.128,17.92,Medium,1
13.78,0.174,34.53,Medium,1
15.38,0.06,7.81,Medium,1
21.71,0.0,53.59,Medium,0
8.84,0.216,39.75,Medium,1
60.08,0.335,67.07,High,0
20.83,0.541,18.91,Low,1
42.05,0.688,72.68,High,0
26.7,0.4,18.87,High,1
45.93,0.532,27.99,High,1
34.51,0.424,10.26,Medium,1
48.8,0.506,66.5,Low,0
52.57,0.801,56.45,Low,0
14.44,0.299,76.41,High,1
44.51,0.107,14.24,Medium,1
44.91,0.146,15.29,Low,1
32.37,0.42,74.89,High,0
55.3,0.153,7.07,High,1
37.63,0.365,19.04,Medium,1
29.42,0.235,19.82,Medium,1
31.96,0.172,8.11,Low,0
21.35,0.286,72.71,Medium,0
43.9,0.259,52.76,Medium,0
11.55,0.208,8.99,High,1
22.56,0.339,2.7,Medium,1
47.7,0.718,30.43,Low,0
42.84,0.432,89.41,Medium,0
19.68,0.06,57.44,Medium,1
39.51,0.896,64.22,Low,0
46.44,0.395,16.58,Low,0
43.29,0.265,46.13,Medium,0
22.2,0.781,23.91,Medium,1
44.09,0.092,10.45,Low,0
45.0,0.22,55.59,High,0
30.43,0.664,27.87,Medium,0
2.96,0.163,5.61,High,1
32.2,0.402,23.47,Low,0
13.18,0.229,26.87,Medium,1
30.71,0.359,0.0,Low,1
3.16,0.088,94.78,Medium,1
1.0,0.418,56.79,High,1
44.89,0.584,24.94,Low,0
18.79,0.035,27.26,High,1
8.69,0.0,39.97,Medium,1
46.28,0.372,0.0,Medium,1
23.5,0.513,43.37,High,1
15.98,0.083,1.91,High,1
9.37,0.521,3.35,High,1
49.88,0.365,36.36,Medium,0
36.34,0.331,10.68,Low,1
9.56,0.047,19.61,High,1
8.47,0.79,21.17,Medium,1
37.98,0.641,78.78,Low,0
27.17,0.308,80.15,Medium,0
5.61,0.0,33.73,Medium,1
17.51,0.344,21.35,Medium,1
45.11,0.184,7.72,High,1
45.18,0.78,46.39,Medium,0
41.44,0.055,13.8,Medium,1
34.45,0.691,3.06,Low,1
45.44,0.928,0.0,Medium,1
15.17,0.619,38.24,Low,1
9.15,0.141,20.02,High,0
35.89,0.063,21.62,Medium,1
12.36,0.19,41.07,High,1
37.71,0.158,11.92,High,1
47.97,0.704,91.03,Medium,0
1.0,0.437,10.81,Medium,1
42.18,0.359,34.47,Medium,0
50.38,0.076,2.53,Low,0
44.06,0.313,23.98,Low,1
5.41,0.0,17.02,Medium,1
20.12,0.075,34.04,Low,1
7.14,0.08,10.78,High,1
51.69,0.241,16.33,High,1
47.18,0.366,35.78,High,0
43.66,0.158,13.05,Medium,1
31.43,0.169,12.08,Low,1
9.96,0.039,10.63,Medium,1
13.32,0.523,17.78,Low,1
44.58,0.341,18.04,High,0
41.7,0.0,19.43,Low,1
57.92,0.607,42.91,Medium,0
65.0,0.189,11.15,Medium,1
43.61,0.076,14.14,Medium,1
36.57,0.555,79.62,High,0
16.74,0.102,3.68,Medium,1
29.56,0.653,9.61,Medium,1
12.64,0.2,10.21,Medium,1
26.12,0.033,39.98,Low,0
22.41,0.089,8.07,Low,0
50.21,0.243,12.51,Low,1
16.13,0.116,8.25,High,1
18.2,0.029,37.28,High,1
65.0,0.143,9.07,Medium,1
10.51,0.075,45.59,Medium,1
51.11,0.031,7.39,High,1
19.86,0.22,11.55,Low,1
21.09,0.049,29.26,High,1
13.05,0.76,37.93,Medium,1
32.78,0.161,31.42,High,1
53.51,0.609,89.34,Medium,0
9.23,0.09,15.25,Medium,1
21.52,0.249,19.37,High,1
37.61,0.223,1.33,High,1
47.34,0.152,27.12,Medium,0
58.49,0.344,45.67,High,0
29.3,0.0,16.48,Medium,1
53.9,0.177,15.21,Medium,1
11.39,0.118,5.93,High,1
52.77,0.125,30.28,Medium,0
7.17,0.357,31.96,Medium,1
62.1,0.362,3.11,High,1
49.54,0.432,95.85,Medium,0
27.62,0.141,20.34,Medium,1
41.35,0.074,11.24,Medium,1
8.1,0.171,13.73,High,0
19.82,0.0,1.11,Medium,1
29.03,0.374,70.23,High,0
18.39,0.262,8.06,Low,1
27.38,0.538,26.34,High,1
20.0,0.118,3.88,Medium,1
57.54,0.094,11.53,Medium,1
47.44,0.232,11.67,High,1
50.3,0.377,13.4,Low,0
52.66,0.697,62.82,Medium,0
13.44,0.047,7.99,High,1
45.36,0.644,135.37,Low,0
49.21,0.068,0.0,Medium,0
51.94,0.073,26.54,Medium,0
35.65,0.112,17.82,Medium,1
16.88,0.277,69.06,Low,0
27.79,0.083,16.98,Medium,1
44.88,0.474,10.54,Medium,1
17.53,0.033,46.3,Medium,1
19.32,0.005,96.78,Medium,0
50.14,0.157,0.0,Medium,1
54.35,0.202,63.61,Medium,0
22.11,0.099,33.24,Medium,1
29.09,0.606,17.38,Medium,1
42.62,0.0,22.82,Low,1
46.2,0.784,50.37,Low,0
53.03,0.0,0.68,Medium,1
21.78,0.254,49.47,Low,0
12.8,0.078,48.26,Medium,1
7.46,0.316,40.51,Medium,1
14.52,0.096,0.0,High,1
33.11,0.326,28.57,Low,1
19.23,0.215,29.47,Medium,1
12.52,0.054,87.15,Medium,1
29.81,0.186,51.05,Medium,0
18.95,0.118,8.07,Medium,1
54.04,0.283,40.52,Medium,0
23.42,0.096,21.34,High,1
10.32,0.224,66.1,Medium,1
14.74,0.23,60.49,Medium,1
30.24,0.0,1.69,High,1
21.09,0.014,58.65,High,1
6.91,0.395,35.71,Medium,1
47.49,0.039,8.24,Medium,1
23.93,0.671,50.09,Low,0
46.32,0.537,29.74,Low,0
40.24,0.099,31.18,High,1
65.0,0.52,51.28,High,0
25.59,0.342,79.68,Medium,0
26.33,0.882,33.07,Low,0
52.41,0.706,63.9,Medium,0
52.49,0.685,42.01,Low,0
9.71,0.0,68.09,High,0
51.2,0.417,18.37,Low,1
20.51,0.321,57.42,Medium,0
13.5,0.117,82.6,Medium,0
2.4,0.192,58.17,High,1
41.77,0.302,27.85,High,1
59.7,0.011,3.52,Medium,1
35.33,0.697,12.49,Medium,1
1.0,0.06,28.46,Medium,1
3.83,0.158,24.93,Medium,1
48.17,0.469,56.66,Low,0
25.32,0.236,65.16,Medium,0
33.78,0.265,48.86,Low,0
27.09,0.117,25.38,High,1
25.76,0.444,23.12,Medium,1
38.02,0.676,34.47,Medium,0
36.26,0.781,35.53,High,0
36.33,0.581,39.06,Medium,0
57.85,0.086,6.09,Medium,1
31.14,0.035,48.62,Low,0
15.68,0.441,51.97,Low,1
32.46,0.757,23.49,Low,0
10.86,0.149,4.05,Medium,1
21.22,0.638,16.33,Medium,1
17.59,0.225,127.69,Low,0
26.07,0.107,3.16,High,1
13.58,0.754,9.79,Medium,1
47.28,0.171,9.16,Medium,1
24.25,0.433,23.62,Low,1
28.3,0.691,31.54,Medium,1
30.04,0.903,57.7,High,0
29.3,0.134,11.84,Medium,1
60.02,0.626,10.42,Low,1
20.11,0.842,43.5,Low,0
44.53,0.272,73.31,Medium,0
39.63,0.346,10.12,Medium,1
42.07,0.194,6.56,Low,1
44.94,0.394,2.64,Medium,1
20.4,0.0,25.93,Medium,1
20.54,0.388,4.24,Medium,1
15.34,0.175,77.56,Medium,1
17.9,0.229,38.51,Low,1
35.2,0.741,13.23,Medium,1
26.71,0.667,33.64,Low,0
49.35,0.478,22.31,Low,0
50.02,0.146,58.49,Low,0
20.18,0.493,75.08,Medium,0
46.4,0.247,7.93,Medium,1
16.59,0.312,41.66,Low,1
48.65,0.183,45.69,Medium,0
50.71,0.0,10.77,High,1
9.94,0.275,52.17,High,0
36.71,0.462,48.53,Medium,0
30.79,0.345,20.71,Medium,1
48.26,0.073,2.56,Medium,1
25.74,0.217,84.15,Medium,0
58.96,0.743,77.31,Medium,0
21.08,0.19,48.9,High,1
24.07,0.188,21.01,Medium,1
27.7,0.196,9.6,High,1
32.13,0.0,21.14,Low,1
32.94,0.57,112.17,Medium,0
50.75,0.078,33.94,Medium,0
41.78,0.212,8.48,Medium,1
32.97,0.116,18.24,Low,1
14.07,0.021,51.27,Low,1
32.6,0.584,0.0,High,1
9.63,0.103,17.9,Medium,1
48.99,0.571,49.22,High,0
4.82,0.066,2.51,Medium,1
35.6,0.444,31.04,High,1
18.63,0.173,19.3,Medium,0
28.35,0.428,35.47,Medium,1
3.09,0.329,10.15,Medium,1
12.18,0.081,4.18,High,1
42.91,0.073,20.45,Medium,1
11.9,0.0,101.58,Medium,0
30.18,0.657,73.9,Low,0
27.34,0.257,27.32,High,1
29.17,0.071,20.62,Low,1
22.3,0.118,34.32,Medium,1
30.98,0.086,19.94,Medium,1
55.19,0.148,19.58,Medium,1
17.13,0.178,16.93,High,1
14.37,0.19,50.57,High,1
28.88,0.727,57.48,Medium,0
43.63,0.552,75.69,Medium,0
24.63,0.36,38.98,Medium,0
47.59,0.104,4.28,Medium,1
21.53,0.039,16.98,High,1
27.14,0.296,2.92,Medium,1
18.22,0.0,30.39,Low,0
56.25,0.449,54.39,Medium,0
45.94,0.296,23.31,Medium,0
23.11,0.045,26.95,Low,1
10.68,0.448,1.08,High,1
13.58,0.126,16.17,Medium,1
37.27,0.293,58.74,Medium,0
46.13,0.17,24.18,High,1
6.3,0.107,12.35,Medium,1
23.21,0.09,44.1,High,1
21.23,0.103,16.86,Medium,1
39.16,0.022,9.86,Medium,1
15.07,0.006,6.1,Medium,1
20.83,0.321,51.67,Low,0
27.15,0.218,43.32,Low,1
7.39,0.14,17.02,Low,1
10.57,0.17,9.64,Low,1
15.12,0.158,51.73,Low,1
8.23,0.258,29.16,High,1
32.5,0.769,50.17,Low,0
12.5,0.119,68.5,Medium,1
11.88,0.219,22.77,High,1
10.43,0.079,31.46,Medium,1
15.11,0.036,73.11,Medium,0
17.22,0.116,63.66,Medium,0
17.97,0.297,8.7,Medium,1
27.27,0.191,36.57,Low,0
9.82,0.093,11.28,Medium,1
21.43,0.491,20.33,High,1
12.71,0.128,3.7,High,1
35.98,0.767,34.41,High,0
20.8,0.25,0.83,High,1
19.74,0.483,43.81,High,1
6.51,0.472,6.61,Medium,1
44.51,0.726,38.29,Low,0
40.21,0.235,9.38,High,1
40.3,0.509,50.47,Low,0
12.96,0.081,28.89,Medium,1
22.29,0.603,33.47,Medium,1
17.97,0.225,16.61,High,1
45.22,0.362,18.44,Medium,1
38.45,0.575,50.46,High,0
28.47,0.538,60.65,Medium,0
36.27,0.509,15.6,Low,0
63.41,0.132,8.89,Medium,1
28.23,0.154,73.68,High,0
52.66,0.265,22.25,High,1
14.16,0.024,16.5,Medium,1
43.43,0.348,64.17,Low,0
17.27,0.2,31.23,High,1
42.77,0.32,26.45,High,1
13.01,0.477,47.93,Low,1
17.73,0.099,28.07,Medium,1
43.4,0.352,5.41,High,1
35.5,0.446,54.82,Low,0
15.29,0.239,33.95,Medium,1
41.62,0.828,82.6,High,0
9.32,0.574,41.63,Medium,1
10.02,0.163,0.24,Medium,1
26.88,0.165,52.28,Medium,0
43.7,0.546,101.68,High,0
11.26,0.218,50.58,Medium,0
27.27,0.633,75.25,Medium,0
24.03,0.483,46.65,Medium,0
28.05,0.379,83.66,Low,1
39.0,0.612,32.58,High,0
46.7,0.572,22.46,Low,0
17.28,0.05,50.76,Medium,1
10.89,0.0,20.23,High,1
8.84,0.191,44.1,Medium,1
4.88,0.262,20.4,Medium,1
43.86,0.042,13.24,High,1
21.14,0.334,33.1,Low,0
21.79,0.433,115.77,Medium,0
13.49,0.084,2.27,High,1
45.9,0.23,8.49,Medium,1
21.12,0.782,6.78,Medium,1
41.67,0.313,34.16,High,1
12.49,0.083,3.15,Medium,1
33.29,0.212,17.64,Medium,1
29.76,0.135,33.89,Low,1
38.3,0.371,71.81,Low,0
44.77,0.584,89.26,Medium,0
37.64,0.469,17.47,Medium,1
13.82,0.097,19.33,Medium,1
33.33,0.181,14.4,Medium,1
16.13,0.13,7.73,High,1
18.39,0.281,16.59,Low,1
15.71,0.086,13.09,High,1
27.0,0.22,72.79,High,0
28.54,0.201,59.76,Low,0
65.0,0.328,19.9,Medium,1
19.97,0.575,28.93,High,1
16.35,0.521,17.0,High,1
61.1,0.41,77.57,Medium,0
34.46,0.606,44.14,Medium,0
17.48,0.185,96.92,High,0
16.83,0.821,19.64,Medium,1
7.14,0.25,2.78,Medium,1
49.68,0.467,73.72,High,0
30.21,0.45,126.24,Low,0
23.65,0.18,5.12,Medium,1
57.72,0.341,10.36,Medium,1
55.08,0.171,20.92,Medium,1
18.65,0.286,5.79,High,1
21.05,0.369,29.24,High,1
14.67,0.385,9.1,Medium,0
28.75,0.543,4.99,Low,1
45.44,0.612,81.06,Low,0
24.14,0.167,18.16,Medium,1
8.89,0.102,46.13,Low,1
34.33,0.18,11.49,Low,1
15.52,0.159,13.62,Medium,1
56.59,0.574,35.12,Medium,0
47.24,0.635,73.88,Medium,0
45.85,0.067,7.15,Medium,1
48.36,0.013,29.68,Medium,0
43.13,0.384,0.0,High,1
47.33,0.001,0.0,Low,0
34.27,0.165,15.79,Medium,1
48.31,0.056,6.57,Medium,1
1.0,0.355,17.65,Medium,1
26.82,0.294,71.62,Medium,0
14.85,0.193,19.53,Medium,1
61.73,0.177,44.87,Low,0
1.0,0.0,15.09,Medium,0
11.96,0.279,72.24,Medium,1
36.66,0.327,6.85,Medium,1
49.19,0.49,33.98,Low,1
4.52,0.036,7.5,Medium,1
39.91,0.257,31.61,Low,0
18.43,0.286,40.32,Medium,1
47.34,0.182,7.68,Low,1
27.31,0.389,16.84,Medium,1
42.43,0.152,38.08,Low,1
1.0,0.045,59.53,Low,1
56.4,0.294,55.86,Low,0
15.27,0.401,16.26,High,1
31.65,0.814,35.98,High,0
27.55,0.32,38.08,Low,0
51.37,0.192,12.52,Medium,1
47.97,0.078,3.52,High,1
18.21,0.215,29.71,High,1
45.16,0.478,11.33,Low,1
50.24,0.189,10.02,Low,1
52.94,0.279,9.46,Medium,1
39.51,0.223,16.47,Medium,1
37.27,0.187,14.43,Medium,1
24.96,0.382,16.05,Medium,1
44.43,0.128,43.19,Medium,0
53.01,0.238,42.95,Medium,0
44.49,0.338,50.28,Low,0
18.44,0.704,23.61,Low,1
8.37,0.21,73.48,Medium,1
26.49,0.484,34.22,Medium,1
42.04,0.346,53.55,Medium,0
29.36,0.234,36.99,Medium,1
10.83,0.022,34.89,Medium,1
11.22,0.339,42.98,Medium,1
16.14,0.084,48.19,Medium,1
48.69,0.2,22.86,Medium,0
31.03,0.129,9.45,Low,1
43.3,0.381,15.45,Low,0
20.93,0.863,58.99,Medium,0
9.71,0.289,33.37,Low,1
26.21,0.082,0.0,High,1
1.0,0.141,1.25,Medium,0
29.83,0.561,9.07,Medium,1
20.31,0.129,0.0,High,1
45.47,0.55,24.14,Low,0
18.06,0.2,67.92,Medium,1
20.6,0.51,37.47,Medium,1
21.82,0.176,0.0,High,1
29.23,0.271,39.05,Low,0
53.74,0.571,77.75,Low,0
19.58,0.093,47.57,Low,0
8.03,0.408,25.08,Medium,1
14.08,0.802,69.17,Low,0
20.87,0.234,29.26,Low,1
14.24,0.305,28.59,High,0
29.11,0.578,69.8,Low,0
23.4,0.207,30.17,High,1
39.98,0.333,73.7,Medium,0
39.84,0.22,0.0,High,1
19.15,0.304,23.21,Medium,1
31.34,0.071,2.2,High,1
47.76,0.154,10.76,Medium,1
18.29,0.616,18.01,Low,1
25.77,0.193,45.9,Medium,0
34.89,0.374,5.22,Medium,1
29.84,0.018,60.39,High,0
54.21,0.381,48.42,Medium,0
11.68,0.0,10.45,Medium,1
27.1,0.683,9.02,Medium,1
49.97,0.288,52.03,Medium,0
35.97,0.212,12.71,Low,1
43.67,0.356,16.26,Medium,1
45.39,0.226,77.16,Low,0
39.89,0.12,10.81,Medium,1
44.17,0.396,16.09,Medium,0
37.12,0.705,70.59,Medium,0
11.57,0.194,17.61,High,1
43.26,0.581,25.1,Medium,0
25.83,0.0,0.0,Medium,1
55.14,0.681,75.64,Medium,0
25.79,0.545,18.83,High,1
11.58,0.304,1.47,Medium,1
34.29,0.641,59.61,Medium,0
55.12,0.359,79.77,Medium,0
28.63,0.028,9.35,Medium,1
34.61,0.379,5.23,Medium,1
4.98,0.185,6.4,High,1
11.68,0.245,34.97,High,1
32.11,0.476,15.28,Low,1
56.74,0.221,20.01,Medium,1
42.89,0.106,78.7,Medium,0
22.49,0.403,9.57,Low,1
53.12,0.089,36.92,Medium,0
9.52,0.183,93.22,High,1
56.01,0.084,28.5,High,1
24.11,0.392,19.1,High,1
59.77,0.8,48.46,High,0
16.05,0.302,7.04,High,1
49.95,0.227,37.87,Medium,0
59.23,0.337,106.28,High,0
55.86,0.102,7.65,Medium,1
14.41,0.05,86.63,High,1
24.18,0.348,39.31,Low,1
42.56,0.489,26.38,Low,0
49.61,0.474,0.11,Low,1
39.74,0.135,27.81,Low,0
42.11,0.123,37.27,Medium,0
16.86,0.318,63.79,Medium,0
21.94,0.756,29.17,Medium,0
10.63,0.016,26.39,Medium,1
45.31,0.107,22.46,Medium,0
59.45,0.125,16.16,High,1
15.32,0.055,26.2,Medium,1
36.32,0.603,6.12,Low,1
34.24,0.549,31.38,Medium,1
36.15,0.374,15.86,Medium,1
41.46,0.724,50.84,Low,0
61.32,0.342,70.62,High,0
18.36,0.106,10.24,Medium,0
51.24,0.098,10.79,High,1
17.47,0.154,27.3,High,0
10.38,0.293,132.7,High,1
26.09,0.12,114.87,Medium,0
30.9,0.38,16.09,High,1
23.5,0.675,28.38,Low,1
40.7,0.541,58.58,Low,0
21.03,0.322,22.1,Medium,1
46.26,0.197,5.78,High,1
54.29,0.108,14.73,Low,1
38.78,0.221,18.13,High,0
50.56,0.126,11.45,Low,1
25.62,0.03,53.98,High,1
44.75,0.392,28.88,Low,0
51.69,0.307,24.03,Low,1
61.83,0.325,8.14,Low,1
23.03,0.152,10.51,High,1
14.26,0.322,42.14,Low,1
29.27,0.256,61.58,Medium,0
19.22,0.123,35.0,Medium,1
12.13,0.069,50.75,Medium,1
33.44,0.285,55.87,Low,0
22.35,0.265,64.18,High,1
21.33,0.149,54.25,High,1
39.44,0.543,78.22,Medium,0
25.8,0.377,84.91,Medium,0
13.78,0.635,20.21,High,1
10.28,0.067,40.33,Medium,1
25.16,0.285,44.89,Medium,1
11.31,0.041,14.71,Medium,1
50.01,0.371,48.65,Low,0
34.43,0.325,20.08,Medium,1
43.37,0.506,91.03,Medium,0
28.02,0.59,39.99,Medium,0
21.33,0.074,5.78,Medium,1
38.23,0.171,48.83,Low,0
17.07,0.185,15.0,High,1
47.01,0.285,0.0,High,1
9.2,0.166,7.41,Medium,0
36.53,0.0,16.02,Medium,1
5.02,0.242,5.0,High,1
53.44,0.072,0.03,Low,1
11.97,0.227,31.28,Medium,1
42.81,0.379,11.56,Medium,1
44.3,0.046,2.61,Medium,1
10.41,0.059,1.98,High,1
32.97,0.131,8.26,High,1
43.52,0.691,39.76,Medium,0
55.71,0.705,52.77,Medium,0
18.7,0.569,22.83,Low,1
21.47,0.148,53.82,Low,0
32.19,0.596,29.2,Medium,0
5.23,0.196,23.48,High,1
24.0,0.168,23.88,Medium,1
10.82,0.0,54.8,High,1
44.9,0.428,2.51,Medium,1
34.15,0.441,57.36,Low,0
10.22,0.273,0.0,Medium,1
9.88,0.071,7.69,Medium,1
13.16,0.719,34.2,Medium,1
10.77,0.177,19.93,Low,1
36.89,0.696,28.77,Low,0
42.89,0.125,6.04,High,1
49.02,0.334,5.19,Medium,1
21.77,0.277,28.08,High,1
23.24,0.507,13.3,Medium,1
19.25,0.048,83.69,Medium,0
18.24,0.196,82.61,High,1
16.48,0.225,0.0,High,1
13.86,0.0,33.35,Medium,1
22.27,0.339,2.01,Medium,1
16.88,0.228,8.82,Medium,1
8.29,0.17,5.31,High,1
13.49,0.632,46.83,Medium,1
1.0,0.087,0.0,High,1
30.01,0.336,68.24,Medium,0
1.0,0.001,8.97,Medium,1
14.17,0.287,27.87,High,1
34.76,0.497,28.64,Low,0
12.21,0.191,3.77,Medium,1
9.45,0.103,5.52,Medium,1
54.01,0.25,35.84,High,0
46.49,0.255,94.12,Medium,0
45.42,0.095,24.03,Medium,1
38.86,0.569,37.19,Low,0
20.92,0.015,36.16,Low,0
50.38,0.25,46.56,Low,0
52.94,0.0,16.2,High,0
16.98,0.256,57.71,Medium,1
22.46,0.699,12.89,Medium,1
57.56,0.068,25.47,Low,1
42.1,0.338,21.76,Medium,1
22.6,0.406,46.15,Low,0
22.39,0.369,7.85,High,1
39.33,0.353,54.97,Medium,0
15.76,0.071,1.27,Medium,1
26.69,0.213,4.74,Medium,1
63.84,0.089,7.48,High,1
15.35,0.156,34.91,High,1
18.73,0.199,91.14,Medium,0
42.74,0.134,26.58,Medium,1
54.21,0.15,16.93,Low,1
24.51,0.425,34.31,Low,1
30.49,0.313,7.23,Low,1
32.02,0.18,7.93,Low,1
32.39,0.516,2.0,Medium,1
29.31,0.661,56.52,Low,0
17.24,0.075,18.66,High,1
39.13,0.08,4.44,High,1
34.78,0.216,17.55,High,1
40.43,0.101,12.9,Low,0
16.27,0.283,39.1,Low,1
45.37,0.356,13.61,Low,0
24.01,0.273,0.0,Medium,1
34.86,0.419,40.29,Low,0
1.0,0.115,55.56,Medium,1
4.98,0.091,93.58,Low,1
37.35,0.056,3.55,Medium,1
24.27,0.457,48.76,Low,0
44.81,0.246,7.81,Low,1
10.71,0.099,10.03,Medium,1
13.37,0.0,22.63,High,1
3.33,0.091,16.22,High,1
33.11,0.472,38.9,Medium,1
24.93,0.555,33.27,Medium,1
41.03,0.305,32.88,High,1
23.74,0.243,18.26,High,1
29.66,0.046,24.7,Medium,0
4.49,0.244,31.68,Medium,1
40.6,0.417,9.98,High,1
41.49,0.561,54.37,Low,0
22.71,0.048,6.12,High,1
41.39,0.104,16.42,Medium,1
29.66,0.48,14.22,Medium,1
1.0,0.23,14.62,Medium,1
18.02,0.516,23.71,Low,1
21.16,0.361,42.7,Medium,0
50.97,0.329,43.85,Medium,0
41.59,0.393,24.61,Medium,1
18.59,0.198,22.49,High,1
40.93,0.329,47.7,Low,0
11.68,0.056,53.52,Medium,1
27.61,0.464,47.09,Medium,0
44.94,0.025,19.82,High,1
17.2,0.168,54.12,Low,1
34.04,0.176,46.1,Medium,0
23.79,0.462,27.94,Low,1
23.19,0.552,42.39,Low,0
10.64,0.338,24.34,Medium,1
15.91,0.144,75.73,Medium,1
27.37,0.638,43.43,Low,0
39.48,0.563,58.11,Medium,0
45.77,0.664,82.99,Low,0
35.46,0.535,95.66,Medium,0
56.78,0.13,8.05,Medium,1
52.98,0.243,1.84,Medium,0
10.21,0.234,48.41,Medium,1
36.89,0.264,100.4,High,0
23.94,0.005,36.61,Medium,0
14.76,0.114,52.13,Medium,1
29.51,0.169,15.29,Medium,1
44.15,0.397,95.42,Low,0
5.03,0.056,25.01,High,1
28.37,0.234,12.63,Medium,1
20.64,0.277,34.93,Medium,1
57.04,0.263,21.51,High,0
52.01,0.727,117.57,Low,0
39.42,0.503,36.97,Medium,0
40.9,0.558,18.74,Low,0
15.82,0.299,111.03,Medium,0
45.64,0.27,73.4,Low,0
29.69,0.347,38.35,Medium,0
7.24,0.058,9.71,High,1
50.98,0.095,4.13,Low,1
16.89,0.226,13.52,Medium,1
33.13,0.413,53.45,Medium,0
17.99,0.0,9.44,Medium,1
18.68,0.102,34.46,High,1
19.77,0.548,1.26,Medium,1
27.25,0.054,15.95,Medium,1
13.9,0.0,52.84,Low,1
46.81,0.171,7.47,Medium,1
61.03,0.554,95.02,Medium,0
36.37,0.249,7.36,Low,1
5.24,0.11,6.62,Medium,1
34.53,0.183,49.29,Medium,0
13.56,0.278,30.76,Medium,1
44.73,0.156,70.29,Medium,0
46.3,0.158,55.51,Low,0
18.35,0.108,41.1,High,1
21.66,0.16,41.95,Medium,1
39.88,0.694,42.18,Medium,0
20.88,0.069,90.52,Medium,0
12.54,0.088,143.19,High,1
1.57,0.132,24.21,Medium,1
24.66,0.321,43.63,Medium,1
61.08,0.371,51.81,Medium,0
47.77,0.567,15.85,Low,0
16.55,0.093,0.0,Medium,0
46.72,0.71,95.14,Low,0
27.29,0.627,51.96,Low,0
1.85,0.078,39.76,Medium,1
22.01,0.666,11.24,Medium,1
6.28,0.301,33.38,High,1
12.43,0.212,96.59,Medium,1
39.79,0.043,25.29,Low,1
14.68,0.113,26.42,Medium,1
22.15,0.264,86.02,Low,0
9.63,0.22,0.0,Medium,1
46.49,0.155,12.87,Medium,1
28.78,0.186,21.34,Medium,1
44.72,0.399,45.74,High,0
36.59,0.138,0.0,Medium,1
4.92,0.277,8.42,Medium,1
15.64,0.166,42.11,High,1
44.72,0.1,10.81,Low,1
22.9,0.068,70.31,Low,0
8.5,0.458,31.41,Medium,1
23.0,0.491,36.58,Medium,1
36.05,0.547,27.62,High,1
55.12,0.231,51.12,Low,0
43.2,0.196,4.4,Low,1
51.99,0.113,17.94,Medium,1
56.07,0.0,26.62,Medium,0
15.84,0.346,28.48,Medium,1
27.31,0.549,57.72,High,0
7.0,0.037,53.35,Medium,1
